コンテンツ,動画のタイトル,動画公開時刻,長さ,エンゲージ ビュー,平均視聴時間,平均視聴率 (%),YouTube Premium (JPY),動画再生ページの広告 (JPY),推定 DoubleClick 収益 (JPY),推定 AdSense 収益 (JPY),YouTube 広告収益 (JPY),広告の表示回数,再生回数に基づく CPM (JPY),CPM (JPY),RPM (JPY),収益化対象の推定再生回数,YouTube Premium の視聴回数,YouTube Premium 総再生時間（単位: 時間）,終了画面要素のクリック数,終了画面要素の表示回数,終了画面要素のクリック率 (%),視聴回数,総再生時間（単位: 時間）,チャンネル登録者,推定収益 (JPY),インプレッション数,インプレッションのクリック率 (%)
9_0pf-a1z5Y,個人的に好きな場面アンジュ先生のブルアカ#ブルアカ #アンジュカトリーナ,"Jun 8, 2025",34,4123,0:00:31,91.97,16.218,0,0,0,,,,,21.323,,2265,9.5482,0,0,,8600,36.8317,0,87.892,47620,1.08
Vm7DoPEq-pE,【アンマリ】アンジュのライン軽々超えていく宝鐘マリン,"May 11, 2024",42,3273,0:00:38,91.68,7.907,0,0,0,,,,,17.133,,631,6.9508,0,0,,3415,35.0272,8,56.073,45745,4.47
dFnnbwcKXJY,【リゼアン】配信外でも見せるてえてえと早瀬走 #にじさんじ #vtuber #切り抜き,"Feb 27, 2025",47,1605,0:00:39,83.6,5.754,0,0,0,,,,,19.822,,510,5.1424,0,0,,1933,17.5749,1,31.828,40939,1.46
2g2QaBEWz5I,【泥酔】正月に酒を飲み、真理に辿り着くにじさんじの錬金術師ww【アンジュカトリーナ】,"Jan 4, 2025",79,1211,0:00:40,51.88,3.706,0,0,0,,,,,17.611,,362,3.7068,0,0,,1429,13.8632,0,21.339,40651,0.76
Ummbb-L8M1Y,フレンと戌亥とこのてえてえ圧縮版 #vtuber #切り抜き,"Jun 7, 2025",27,1113,0:00:24,90.97,4.441,0,0,0,,,,,21.636,,627,2.0119,0,0,,2123,7.8479,1,24.056,29560,1.16
vp72-fovks4,【100万人懺悔!?】記念配信でずっと言えなかったデビュー時の嘘を泣きながら謝る配信に...【にじさんじ／アンジュ・カトリーナ】,"Apr 8, 2026",271,76,0:01:58,43.73,1.865,8.644,0,8.644,15.719,45,392.975,349.311,138.276,40,35,1.0677,1,70,1.43,76,2.502,0,10.509,673,7.28
6vS3UoeWwvQ,2024年5月10日,"May 12, 2024",23,98,0:00:21,94.92,0.387,0,0,0,,,,,16.378,,30,0.1795,0,0,,98,0.5943,0,1.605,984,4.67
cbEDMw-fPWc,【リゼるりてぇてぇ①】初コラボから姉妹(?)になるまでの最高に「てえてえ」総集編【にじさんじ/切り抜き/リゼ・ヘルエスタ/栞葉るり】,"May 23, 2025",3704,5,0:01:05,1.78,0.055,0.565,0,0.565,1.028,7,171.333,146.857,124,6,4,0.0285,0,0,,5,0.0916,0,0.62,718,0
2B7kDncW9Ao,フレンとこの個人的に好きなとこ #切り抜き,"Jun 7, 2025",27,12,0:00:15,56.2,0.043,0,0,0,,,,,19.5,,8,0.0174,0,0,,33,0.0615,0,0.234,47,6.38
gYlqjC8VPVE,【爆速】ガチャで冗長が荒れまくるアンジュまとめ #にじさんじ #アンジュカトリーナ #vtuber #アンジュ切り抜き,"Dec 29, 2023",34,2,0:00:43,126.7,0,0,0,0,,,,,14.5,,0,0,0,0,,2,0.0239,0,0.029,0,
