video_id,title,published_at,length_sec,engaged_views,avg_watch_time,avg_view_pct,premium_jpy,page_ad_jpy,doubleclick_jpy,adsense_jpy,yt_ad_rev_jpy,ad_impressions,cpm_playback_jpy,cpm_jpy,rpm_jpy,monetized_playbacks,premium_views,premium_watch_hours,endscreen_clicks,endscreen_impressions,endscreen_ctr,views,watch_hours,subs_gained,est_revenue_jpy,impressions,impression_ctr,avg_watch_sec,format,rev_per_view,watch_hours_per_view,subs_per_1k_views,impressions_per_view,year,age_days,views_per_day,length_bin,tag
7FyovEYud1A,【10分でわかる】皇女と美大生の出会いと別れそして復活まとめ①【にじさんじ/リゼへルエスタ/鈴原るる】,2026-03-19,2939.0,925,0:13:22,27.29,183.286,726.525,0.0,726.525,1320.996,1624.0,2388.781,813.421,983.579,553.0,420,104.2845,2,452,0.44,925,206.0839,-1,909.812,13720,4.98,802,Long,0.9835805405405406,0.2227934054054054,-1.0810810810810811,14.832432432432432,2026,37,25.0,40-50m,"compilation,collab"
ylxh6D7PC08,【爆速】ガチャで感情が荒れまくるアンジュまとめ #にじさんじ #アンジュカトリーナ #vtuber #アンジュ切り抜き,2023-12-30,34.0,13343,0:00:27,82.0,47.236,0.0,0.0,0.0,,,,,15.669,,3397,23.6644,0,0,,13549,103.3773,8,209.078,84290,1.83,27,Shorts,0.015431249538711344,0.007629884124289616,0.590449479666396,6.2211233301350655,2023,847,15.996458087367179,Shorts(≤1m),gacha
d1lznATZxMo,やっぱりどの方向でも美少女なアンジュカトリーナって可愛すぎる,2024-04-05,14.0,25460,0:00:14,102.32,84.386,0.0,0.0,0.0,,,,,16.86,,6195,22.1224,0,0,,25656,101.3283,12,429.254,54807,2.79,14,Shorts,0.016731135017149984,0.0039494971936389145,0.4677268475210477,2.1362254443405053,2024,750,34.208,Shorts(≤1m),other
7BIojg8voq4,年齢の扱いには過敏な26歳のアンジュ #アンジュ #にじさんじ #アンジュカトリーナ,2025-11-23,38.0,7417,0:00:30,80.03,35.284,0.0,0.0,0.0,,,,,25.172,,4606,20.6033,0,0,,14491,64.9593,1,186.484,26447,3.86,30,Shorts,0.012868953143330343,0.00448273411082741,0.06900835001035126,1.8250638327237596,2025,153,94.7124183006536,Shorts(≤1m),other
AygPjheeOAE,【ブチギレ】的確にラインを超えていくリスナーたち #アンジュカトリーナ,2024-05-25,31.0,6741,0:00:29,93.61,23.378,0.0,0.0,0.0,,,,,18.092,,1893,14.7852,0,0,,7514,54.4583,9,121.979,103968,2.89,29,Shorts,0.01623356401384083,0.007247577854671281,1.1977641735427202,13.836571732765504,2024,700,10.734285714285715,Shorts(≤1m),other
9_0pf-a1z5Y,個人的に好きな場面アンジュ先生のブルアカ#ブルアカ #アンジュカトリーナ,2025-06-08,34.0,4123,0:00:31,91.97,16.218,0.0,0.0,0.0,,,,,21.323,,2265,9.5482,0,0,,8600,36.8317,0,87.892,47620,1.08,31,Shorts,0.01022,0.004282755813953488,0.0,5.537209302325581,2025,321,26.79127725856698,Shorts(≤1m),other
Vm7DoPEq-pE,【アンマリ】アンジュのライン軽々超えていく宝鐘マリン,2024-05-11,42.0,3273,0:00:38,91.68,7.907,0.0,0.0,0.0,,,,,17.133,,631,6.9508,0,0,,3415,35.0272,8,56.073,45745,4.47,38,Shorts,0.016419619326500733,0.010256866764275256,2.342606149341142,13.395314787701318,2024,714,4.782913165266106,Shorts(≤1m),collab
dFnnbwcKXJY,【リゼアン】配信外でも見せるてえてえと早瀬走 #にじさんじ #vtuber #切り抜き,2025-02-27,47.0,1605,0:00:39,83.6,5.754,0.0,0.0,0.0,,,,,19.822,,510,5.1424,0,0,,1933,17.5749,1,31.828,40939,1.46,39,Shorts,0.016465597516813243,0.00909203310915675,0.5173305742369374,21.17899637868598,2025,422,4.580568720379147,Shorts(≤1m),"teetee,collab"
2g2QaBEWz5I,【泥酔】正月に酒を飲み、真理に辿り着くにじさんじの錬金術師ww【アンジュカトリーナ】,2025-01-04,79.0,1211,0:00:40,51.88,3.706,0.0,0.0,0.0,,,,,17.611,,362,3.7068,0,0,,1429,13.8632,0,21.339,40651,0.76,40,Long,0.014932820153953813,0.009701329601119664,0.0,28.447165850244925,2025,476,3.0021008403361344,1-10m,other
Ummbb-L8M1Y,フレンと戌亥とこのてえてえ圧縮版 #vtuber #切り抜き,2025-06-07,27.0,1113,0:00:24,90.97,4.441,0.0,0.0,0.0,,,,,21.636,,627,2.0119,0,0,,2123,7.8479,1,24.056,29560,1.16,24,Shorts,0.011331135186057465,0.0036966085727743758,0.4710315591144607,13.923692887423458,2025,322,6.593167701863354,Shorts(≤1m),"teetee,collab"
vp72-fovks4,【100万人懺悔!?】記念配信でずっと言えなかったデビュー時の嘘を泣きながら謝る配信に...【にじさんじ／アンジュ・カトリーナ】,2026-04-08,271.0,76,0:01:58,43.73,1.865,8.644,0.0,8.644,15.719,45.0,392.975,349.311,138.276,40.0,35,1.0677,1,70,1.43,76,2.502,0,10.509,673,7.28,118,Long,0.1382763157894737,0.03292105263157894,0.0,8.855263157894736,2026,17,4.470588235294118,1-10m,other
6vS3UoeWwvQ,2024年5月10日,2024-05-12,23.0,98,0:00:21,94.92,0.387,0.0,0.0,0.0,,,,,16.378,,30,0.1795,0,0,,98,0.5943,0,1.605,984,4.67,21,Shorts,0.016377551020408162,0.006064285714285715,0.0,10.040816326530612,2024,713,0.13744740532959326,Shorts(≤1m),other
cbEDMw-fPWc,【リゼるりてぇてぇ①】初コラボから姉妹(?)になるまでの最高に「てえてえ」総集編【にじさんじ/切り抜き/リゼ・ヘルエスタ/栞葉るり】,2025-05-23,3704.0,5,0:01:05,1.78,0.055,0.565,0.0,0.565,1.028,7.0,171.333,146.857,124.0,6.0,4,0.0285,0,0,,5,0.0916,0,0.62,718,0.0,65,Long,0.124,0.01832,0.0,143.6,2025,337,0.01483679525222552,60m+,"compilation,teetee,first_collab,collab"
2B7kDncW9Ao,フレンとこの個人的に好きなとこ #切り抜き,2025-06-07,27.0,12,0:00:15,56.2,0.043,0.0,0.0,0.0,,,,,19.5,,8,0.0174,0,0,,33,0.0615,0,0.234,47,6.38,15,Shorts,0.007090909090909091,0.0018636363636363635,0.0,1.4242424242424243,2025,322,0.10248447204968944,Shorts(≤1m),collab
gYlqjC8VPVE,【爆速】ガチャで冗長が荒れまくるアンジュまとめ #にじさんじ #アンジュカトリーナ #vtuber #アンジュ切り抜き,2023-12-29,34.0,2,0:00:43,126.7,0.0,0.0,0.0,0.0,,,,,14.5,,0,0.0,0,0,,2,0.0239,0,0.029,0,,43,Shorts,0.0145,0.01195,0.0,0.0,2023,848,0.0023584905660377358,Shorts(≤1m),gacha
